w;x;x*-x;iterations;
;3,99889;0,00110963;;
;4,99892;0,00108069;;
;5,99901;0,000986555;;
;6,99903;0,000974218;;
;7,99901;0,000986161;;
w;x;x*-x;iterations;
0,58;0,999181;0,000819309;339;
;1,99901;0,000994679;;
;2,99894;0,0010626;;
;3,9989;0,00110194;;
;4,99893;0,00107312;;
;5,99902;0,000979596;;
;6,99903;0,000967305;;
;7,99902;0,000979079;;
w;x;x*-x;iterations;
0,59;0,999181;0,000819418;331;
;1,99901;0,00099474;;
;2,99894;0,0010626;;
;3,9989;0,00110186;;
;4,99893;0,00107297;;
;5,99902;0,000979403;;
;6,99903;0,000967073;;
;7,99902;0,000978759;;
w;x;x*-x;iterations;
0,6;0,999196;0,000803759;324;
;1,99902;0,000975659;;
;2,99896;0,00104215;;
;3,99892;0,00108058;;
;4,99895;0,00105216;;
;5,99904;0,000960364;;
;6,99905;0,000948234;;
;7,99904;0,000959607;;
w;x;x*-x;iterations;
0,61;0,999185;0,000814864;316;
;1,99901;0,000989065;;
;2,99894;0,00105641;;
;3,9989;0,00109528;;
;4,99893;0,00106639;;
;5,99903;0,000973301;;
;6,99904;0,000960965;;
